Time,M1,M2
344,0.817076457,0.822670663
345,0.554513882,0.456817964
346,0.933641061,0.848208639
347,0.219592185,0.38727381
348,0.649510693,0.823721437
349,0.854356583,0.465414238
350,0.464886772,0.83900301
351,0.937514005,0.441566044
352,0.214330197,0.829931207
353,0.636334916,0.47977855
354,0.873262608,0.849144838
355,0.405734569,0.389020473
356,0.913076527,0.819265282
357,0.286636536,0.458399728
358,0.774381041,0.858431432
359,0.650622108,0.372163938
360,0.858946565,0.798431747
361,0.446681778,0.508419906
362,0.934655197,0.856583716
363,0.216072257,0.365919355
364,0.64208184,0.80575313
365,0.862941264,0.506413826
366,0.440699721,0.839895589
367,0.929234377,0.44103712
368,0.24168329,0.830045677
369,0.692423251,0.477695824
370,0.802683157,0.846797417
371,0.588260843,0.399683627
372,0.915695725,0.820968731
373,0.278313693,0.454286154
374,0.760721009,0.85757113
375,0.678645864,0.375310313
376,0.823631434,0.800207464
377,0.538816721,0.506838094
378,0.93881254,0.852988914
379,0.202269576,0.374832157
380,0.611638716,0.814100167
381,0.892681125,0.489858983
382,0.355300071,0.83965703
383,0.864468732,0.447349441
384,0.437483273,0.834360147
385,0.927847931,0.454510034
386,0.245961037,0.834020025
387,0.700661251,0.468096266
388,0.790433699,0.845199378
389,0.616101932,0.404484937
390,0.893793219,0.823132739
391,0.346008015,0.450691479
392,0.856769723,0.854014915
393,0.451684504,0.37782151
394,0.937716206,0.809100968
395,0.206763045,0.479901503
396,0.621261417,0.865648105
397,0.883367666,0.364031621
398,0.385079609,0.784568198
399,0.89377213,0.567403594
400,0.350642747,0.818528283
401,0.859490942,0.496928186
402,0.450369693,0.840798552
403,0.93306656,0.4382036
404,0.229145284,0.828924367
405,0.667424464,0.481135134
406,0.837059959,0.8480647
407,0.5040866,0.394187895
408,0.945962442,0.819916908
409,0.178734289,0.454737254
410,0.55617016,0.861327322
411,0.928429779,0.379725418
412,0.245451145,0.796165216
413,0.699870153,0.552368004
414,0.790465586,0.834474702
415,0.616200554,0.430673475
416,0.893382614,0.836947916
417,0.346996159,0.417814178
418,0.858141735,0.839760824
419,0.448178414,0.413318333
420,0.936090381,0.833882782
421,0.211723889,0.422380836
422,0.632419596,0.84675918
423,0.872657051,0.411312681
424,0.415102848,0.818756165
425,0.915814039,0.492191334
426,0.283959888,0.838726128
427,0.767878055,0.45437297
428,0.670339061,0.839801367
429,0.828482463,0.425836476
430,0.53292127,0.827525357
431,0.937061405,0.464264523
432,0.215412961,0.835726866
433,0.638638298,0.466104039
434,0.871008367,0.847164972
435,0.412182852,0.394136665
436,0.917445837,0.82277883
437,0.272710999,0.449959993
438,0.751236717,0.856419269
439,0.697276953,0.378908679
440,0.796826768,0.802542779
441,0.602406954,0.503478529
442,0.904082721,0.850693732
443,0.314143238,0.383020872
444,0.816331135,0.817479719
445,0.556404845,0.468836466
446,0.932693017,0.850731889
447,0.222682227,0.380977262
448,0.656063702,0.818630608
449,0.846706182,0.476694969
450,0.485147916,0.840809418
451,0.941003441,0.435837937
452,0.202758169,0.827781304
453,0.610902927,0.485530805
454,0.897329811,0.850538273
455,0.334826015,0.383873149
456,0.843756093,0.817518483
457,0.48716492,0.466954149
458,0.944824317,0.852979207
459,0.181980732,0.374446639
460,0.56431939,0.814375872
461,0.925088099,0.492321892
462,0.254231589,0.838358373
463,0.716209231,0.457246664
464,0.765813875,0.84240379
465,0.668600848,0.413048794
466,0.83645697,0.826445025
467,0.506001774,0.446714903
468,0.945342348,0.846979362
469,0.180333023,0.389563792
470,0.560284466,0.826693356
471,0.926926307,0.464395402
472,0.248779722,0.836126269
473,0.706015588,0.462926059
474,0.782182134,0.844042689
475,0.634214422,0.40790559
476,0.876374666,0.8246192
477,0.397246513,0.448364283
478,0.906316316,0.851419243
479,0.307213691,0.381033394
480,0.806425895,0.816099619
481,0.580029573,0.472633699
482,0.920179186,0.850447478
483,0.263456635,0.382547853
484,0.735363803,0.818654695
485,0.727454565,0.471446427
486,0.746545683,0.844709959
487,0.706405568,0.40866349
488,0.782333974,0.822707173
489,0.634219968,0.459019739
490,0.875720611,0.845832605
491,0.398755023,0.397142289
492,0.907880678,0.825302021
493,0.302821224,0.444683023
494,0.799564826,0.853517356
