FP,cat,subcat,offset,ESU_rec4n,Middle Fork Salmon_rec4n,Imnaha_rec4n,Upper Salmon_rec4n,ESU_rec5n,Middle Fork Salmon_rec5n,Imnaha_rec5n,Upper Salmon_rec5n
flow.peakday.4,flow,peakday,4,NA,NA,NA,NA,0.13977427,NA,0.23862848,NA
flow.peakday.5,flow,peakday,5,NA,NA,NA,0.125517749,0.12460416,NA,0.21847197,NA
harv.COL.4,harv,COL,4,0.5071174,0.4818745,0.39634166,NA,0.34620552,0.33821504,0.36481995,0.2730379285
harv.COL.5,harv,COL,5,0.4313257,0.36546389,0.34319299,NA,0.37627188,0.40750568,0.31998438,NA
harv.CRsport.4,harv,CRsport,4,0.5895198,0.57824406,NA,NA,0.33872195,0.29369401,0.24085296,0.2846674559
harv.CRsport.5,harv,CRsport,5,0.5026441,0.51135948,NA,NA,0.42026668,0.34122004,0.30049723,0.1114538902
harv.NBC.4,harv,NBC,4,0.4209839,0.30298811,NA,0.24276371,0.52262341,0.47946788,0.37069713,NA
harv.NBC.5,harv,NBC,5,0.3960774,0.24669772,NA,NA,0.52340805,0.54159902,0.36165149,0.3448264844
harv.ORWA.4,harv,ORWA,4,0.3755772,0.25357231,NA,NA,0.41178597,0.34559184,0.42839498,0.4202711226
harv.ORWA.5,harv,ORWA,5,0.3564225,0.23921942,NA,NA,0.50400392,0.46640289,0.41253433,0.4883700127
harv.ORWAsport.4,harv,ORWAsport,4,0.2772144,NA,NA,NA,0.40921325,0.37889364,0.46352917,0.4125165471
